time_ms,x,y,target_x,target_y,target_w,start_flag,end_flag
257,317.0,849.0,2185.0,850.0,40.0,0,0
273,391.0,849.0,2185.0,850.0,40.0,0,0
288,464.0,852.0,2185.0,850.0,40.0,0,0
304,539.0,857.0,2185.0,850.0,40.0,0,0
319,619.0,862.0,2185.0,850.0,40.0,0,0
334,694.0,863.0,2185.0,850.0,40.0,0,0
350,764.0,863.0,2185.0,850.0,40.0,0,0
365,832.0,863.0,2185.0,850.0,40.0,0,0
380,886.0,862.0,2185.0,850.0,40.0,0,0
396,942.0,862.0,2185.0,850.0,40.0,0,0
411,992.0,861.0,2185.0,850.0,40.0,0,0
427,1045.0,861.0,2185.0,850.0,40.0,0,0
443,1093.0,860.0,2185.0,850.0,40.0,0,0
459,1133.0,859.0,2185.0,850.0,40.0,0,0
474,1168.0,859.0,2185.0,850.0,40.0,0,0
489,1206.0,859.0,2185.0,850.0,40.0,0,0
505,1244.0,859.0,2185.0,850.0,40.0,0,0
520,1282.0,860.0,2185.0,850.0,40.0,0,0
535,1312.0,860.0,2185.0,850.0,40.0,0,0
550,1343.0,860.0,2185.0,850.0,40.0,0,0
565,1375.0,860.0,2185.0,850.0,40.0,0,0
581,1411.0,861.0,2185.0,850.0,40.0,0,0
596,1446.0,861.0,2185.0,850.0,40.0,0,0
611,1475.0,861.0,2185.0,850.0,40.0,0,0
627,1500.0,860.0,2185.0,850.0,40.0,0,0
642,1521.0,860.0,2185.0,850.0,40.0,0,0
658,1545.0,860.0,2185.0,850.0,40.0,0,0
673,1569.0,860.0,2185.0,850.0,40.0,0,0
688,1594.0,860.0,2185.0,850.0,40.0,0,0
703,1614.0,861.0,2185.0,850.0,40.0,0,0
719,1634.0,861.0,2185.0,850.0,40.0,0,0
735,1655.0,862.0,2185.0,850.0,40.0,0,0
750,1683.0,864.0,2185.0,850.0,40.0,0,0
765,1718.0,866.0,2185.0,850.0,40.0,0,0
781,1754.0,866.0,2185.0,850.0,40.0,0,0
796,1784.0,866.0,2185.0,850.0,40.0,0,0
812,1810.0,865.0,2185.0,850.0,40.0,0,0
828,1838.0,864.0,2185.0,850.0,40.0,0,0
842,1871.0,863.0,2185.0,850.0,40.0,0,0
858,1906.0,862.0,2185.0,850.0,40.0,0,0
874,1939.0,861.0,2185.0,850.0,40.0,0,0
890,1970.0,859.0,2185.0,850.0,40.0,0,0
905,1995.0,857.0,2185.0,850.0,40.0,0,0
920,2022.0,857.0,2185.0,850.0,40.0,0,0
936,2054.0,856.0,2185.0,850.0,40.0,0,0
951,2087.0,856.0,2185.0,850.0,40.0,0,0
968,2122.0,854.0,2185.0,850.0,40.0,0,0
984,2146.0,851.0,2185.0,850.0,40.0,0,0
999,2163.0,850.0,2185.0,850.0,40.0,0,0
1015,2175.0,850.0,2185.0,850.0,40.0,0,0
1031,2182.0,850.0,2185.0,850.0,40.0,0,0
1046,2185.0,850.0,2185.0,850.0,40.0,0,0
1062,2185.0,850.0,2185.0,850.0,40.0,0,0
1077,2185.0,850.0,2185.0,850.0,40.0,0,0
1093,2185.0,850.0,2185.0,850.0,40.0,0,1
11,640.0,831.0,1790.0,776.0,40.0,1,0
26,642.0,831.0,1790.0,776.0,40.0,0,0
41,663.0,831.0,1790.0,776.0,40.0,0,0
57,712.0,831.0,1790.0,776.0,40.0,0,0
72,777.0,831.0,1790.0,776.0,40.0,0,0
87,858.0,828.0,1790.0,776.0,40.0,0,0
103,952.0,822.0,1790.0,776.0,40.0,0,0
119,1058.0,815.0,1790.0,776.0,40.0,0,0
134,1165.0,808.0,1790.0,776.0,40.0,0,0
149,1278.0,802.0,1790.0,776.0,40.0,0,0
165,1397.0,797.0,1790.0,776.0,40.0,0,0
180,1484.0,793.0,1790.0,776.0,40.0,0,0
196,1561.0,790.0,1790.0,776.0,40.0,0,0
211,1630.0,788.0,1790.0,776.0,40.0,0,0
227,1693.0,784.0,1790.0,776.0,40.0,0,0
242,1737.0,781.0,1790.0,776.0,40.0,0,0
258,1767.0,778.0,1790.0,776.0,40.0,0,0
273,1782.0,776.0,1790.0,776.0,40.0,0,0
288,1789.0,776.0,1790.0,776.0,40.0,0,0
305,1790.0,776.0,1790.0,776.0,40.0,0,0
320,1790.0,776.0,1790.0,776.0,40.0,0,0
335,1790.0,776.0,1790.0,776.0,40.0,0,1
15,656.0,867.0,1952.0,836.0,40.0,1,0
30,653.0,867.0,1952.0,836.0,40.0,0,0
45,652.0,867.0,1952.0,836.0,40.0,0,0
60,652.0,867.0,1952.0,836.0,40.0,0,0
76,652.0,867.0,1952.0,836.0,40.0,0,0
92,652.0,867.0,1952.0,836.0,40.0,0,0
107,652.0,867.0,1952.0,836.0,40.0,0,0
123,652.0,867.0,1952.0,836.0,40.0,0,0
138,652.0,867.0,1952.0,836.0,40.0,0,0
154,652.0,867.0,1952.0,836.0,40.0,0,0
170,652.0,867.0,1952.0,836.0,40.0,0,0
185,652.0,867.0,1952.0,836.0,40.0,0,0
202,652.0,867.0,1952.0,836.0,40.0,0,0
217,652.0,867.0,1952.0,836.0,40.0,0,0
233,652.0,867.0,1952.0,836.0,40.0,0,0
247,652.0,867.0,1952.0,836.0,40.0,0,0
263,652.0,867.0,1952.0,836.0,40.0,0,0
278,657.0,867.0,1952.0,836.0,40.0,0,0
294,674.0,867.0,1952.0,836.0,40.0,0,0
309,704.0,867.0,1952.0,836.0,40.0,0,0
325,750.0,867.0,1952.0,836.0,40.0,0,0
340,810.0,867.0,1952.0,836.0,40.0,0,0
356,881.0,867.0,1952.0,836.0,40.0,0,0
372,953.0,866.0,1952.0,836.0,40.0,0,0
387,1036.0,864.0,1952.0,836.0,40.0,0,0
403,1117.0,862.0,1952.0,836.0,40.0,0,0
419,1204.0,859.0,1952.0,836.0,40.0,0,0
434,1286.0,856.0,1952.0,836.0,40.0,0,0
449,1373.0,855.0,1952.0,836.0,40.0,0,0
465,1461.0,853.0,1952.0,836.0,40.0,0,0
480,1535.0,851.0,1952.0,836.0,40.0,0,0
495,1612.0,847.0,1952.0,836.0,40.0,0,0
511,1680.0,843.0,1952.0,836.0,40.0,0,0
527,1742.0,841.0,1952.0,836.0,40.0,0,0
542,1802.0,839.0,1952.0,836.0,40.0,0,0
558,1860.0,839.0,1952.0,836.0,40.0,0,0
573,1899.0,839.0,1952.0,836.0,40.0,0,0
589,1934.0,838.0,1952.0,836.0,40.0,0,0
605,1950.0,837.0,1952.0,836.0,40.0,0,0
621,1952.0,836.0,1952.0,836.0,40.0,0,1
10,821.0,854.0,1797.0,742.0,40.0,1,0
26,821.0,854.0,1797.0,742.0,40.0,0,0
41,822.0,854.0,1797.0,742.0,40.0,0,0
61,830.0,854.0,1797.0,742.0,40.0,0,0
73,843.0,853.0,1797.0,742.0,40.0,0,0
89,871.0,853.0,1797.0,742.0,40.0,0,0
104,921.0,851.0,1797.0,742.0,40.0,0,0
120,987.0,846.0,1797.0,742.0,40.0,0,0
136,1061.0,841.0,1797.0,742.0,40.0,0,0
151,1148.0,833.0,1797.0,742.0,40.0,0,0
167,1243.0,826.0,1797.0,742.0,40.0,0,0
183,1346.0,819.0,1797.0,742.0,40.0,0,0
199,1453.0,810.0,1797.0,742.0,40.0,0,0
214,1544.0,798.0,1797.0,742.0,40.0,0,0
229,1614.0,786.0,1797.0,742.0,40.0,0,0
244,1675.0,774.0,1797.0,742.0,40.0,0,0
